load cell voltage,load cell voltage STD,Transducer voltage,Transducer voltage STD,Re,Cd
0.000129,0,0.154124,0.082584,159812.6035,0.198988
0.000136,0,0.238983,0.084176,206654.6014,0.199132
0.000145,0,0.33677,0.084287,249974.2756,0.203552
0.00015,0,0.392846,0.085938,271717.8719,0.204979
0.000155,0,0.453009,0.084912,293258.914,0.206834
0.000161,0,0.513613,0.08887,313464.7566,0.209863
0.000168,0,0.578604,0.088408,333777.0209,0.213314
0.000175,0.000001,0.647672,0.087831,354088.4016,0.216222
0.000182,0.000001,0.7208,0.078105,374394.995,0.218045
0.00019,0.000001,0.791851,0.07499,393121.1662,0.221366
0.000197,0.000001,0.863175,0.078779,411062.2847,0.223732
0.00019,0.000001,0.791893,0.077141,393131.9358,0.22124
0.000182,0.000001,0.719538,0.076939,374053.7899,0.219414
0.000175,0.000001,0.648478,0.086914,354318.6258,0.217104
0.000168,0,0.578304,0.089424,333686.0804,0.215084
0.000162,0,0.514491,0.089234,313748.0636,0.212418
0.000156,0,0.451743,0.088067,292822.1276,0.209882
0.00015,0,0.392792,0.086492,271697.8499,0.209168
0.000145,0,0.337618,0.083732,250317.2744,0.207634
0.000141,0,0.286658,0.085231,228801.3249,0.20715
0.000137,0,0.23831,0.082214,206325.0479,0.209301
