load cell voltage,load cell voltage STD,Transducer voltage,Transducer voltage STD,Re,Cd
0.000132,0,0.156247,0.081028,204404.1654,0.166194
0.000143,0,0.23859,0.081532,261876.5324,0.173425
0.000155,0,0.338846,0.085417,318131.1738,0.174917
0.00016,0.000001,0.394601,0.083666,345475.0719,0.169491
0.000165,0.000001,0.451731,0.083382,371410.4379,0.165395
0.000169,0,0.514909,0.085734,398129.5045,0.156845
0.000173,0.000001,0.580621,0.085386,424137.6889,0.148524
0.000173,0.000001,0.650454,0.083911,450133.3656,0.132382
0.000171,0.000002,0.723011,0.074,475639.9713,0.114437
0.000167,0.000002,0.797304,0.074427,500411.8116,0.095458
0.000141,0.000001,0.869219,0.076479,523275.0344,0.041298
0.000168,0.000002,0.794289,0.074779,499430.5277,0.09624
0.000172,0.000001,0.721204,0.076471,475021.5901,0.116859
0.000175,0.000001,0.650641,0.086735,450200.7858,0.135207
0.000174,0,0.579443,0.087648,423685.722,0.152162
0.00017,0.000001,0.514042,0.086827,397775.0185,0.159598
0.000165,0.000001,0.451248,0.086074,371198.8329,0.16512
0.000159,0,0.393022,0.087549,344730.3938,0.168199
0.000154,0,0.336451,0.085775,316903.8794,0.17198
0.000148,0,0.28653,0.084879,290140.5857,0.174816
0.000143,0,0.238411,0.082905,261765.5817,0.178765
